VendorNumber,VendorName,Brand,Description,Volume,ActualPrice,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
2,"IRA GOLDMAN AND WILLIAMS, LLP",90085,Ch Lilian 09 Ladouys St Este,750.0,36.99,71.58,8,190.88,18.0,665.82,295.92,2.0000000000000004,27.08,474.94000000000005,71.33159112072333,2.25,3.4881601005867564,23.86,Small,-369.90000000000003
60,ADAMBA IMPORTS INTL INC,771,Bak's Krupnik Honey Liqueur,750.0,14.99,45.76,39,446.16,47.0,704.5300000000003,494.6700000000002,37.00999999999999,367.52,258.3700000000003,36.67267540062172,1.205128205128205,1.5790971848664161,11.440000000000001,Small,-119.92
105,ALTAMAR BRANDS LLC,2529,Right Gin,750.0,29.99,46.5,12,279.0,12.0,359.88,59.98,9.44,62.38999999999999,80.88,22.474158052684228,1.0,1.2898924731182795,23.25,Small,0.0
105,ALTAMAR BRANDS LLC,8412,Tequila Ocho Plata Fresno,750.0,49.99,1964.0500000000013,320,11427.200000000008,307.0,15346.929999999948,12947.409999999953,242.14999999999927,62.38999999999999,3919.7299999999395,25.540808487430077,0.959375,1.343017537104447,35.71000000000002,Medium,649.87
200,AMERICAN SPIRITS EXCHANGE,20789,Zin-phomaniac Znfdl,750.0,14.99,58.38000000000001,96,934.08,84.0,1511.16,287.84000000000003,9.429999999999998,6.1899999999999995,577.08,38.18788215675376,0.875,1.6178057553956835,9.73,Medium,179.88
388,ATLANTIC IMPORTING COMPANY,2034,Glendalough Double Barrel,750.0,32.99,5393.959999999996,1777,37885.63999999976,1587.0,45645.13000000005,37387.000000000466,1251.859999999978,211.74,7759.490000000289,16.999601052730664,0.8930782217220034,1.2048134860596347,21.319999999999865,Large,6268.1
388,ATLANTIC IMPORTING COMPANY,2119,Glendalough 13 Yr Sngle Malt,750.0,89.99,464.79999999999995,39,2589.6,115.0,9838.849999999986,6924.189999999988,90.70000000000012,211.74,7249.249999999985,73.67985079557057,2.948717948717949,3.7993705591597102,66.39999999999999,Small,-6839.24
388,ATLANTIC IMPORTING COMPANY,7241,Glendalough Poitin Shry Cask,750.0,34.99,124.08000000000001,31,641.0799999999999,123.0,3788.769999999995,2989.009999999994,13.59,211.74,3147.689999999995,83.07946906251895,3.967741935483871,5.909980033693135,20.679999999999996,Small,-3219.0800000000004
480,BACARDI USA INC,126,Grey Goose Vodka,1000.0,32.99,69684.39999999829,59878,1205942.9200000097,58013.0,1736610.8699998679,294049.4899999594,60913.65000000181,89286.26999999999,530667.9499998582,30.557677552709233,0.9688533351147333,1.44004400307757,20.14000000000016,Large,61526.350000000006
480,BACARDI USA INC,128,Grey Goose Le Citron Vodka,1000.0,31.99,48.84,4,97.68,4.0,122.96000000000001,93.97,4.2,89286.26999999999,25.28,20.559531554977227,1.0,1.2588042588042587,24.42,Small,0.0
